Post.Office,State,County,Established,Discontinued,Latitude,Longitude
SCHELL,NE,Nuckolls,1883,1887,40.2917564,-98.2602136
SCURRY,TX,Kaufman,1883,,32.5141277,-96.3814318
SELLWOOD,OR,Multnomah,1883,1901,45.4645635,-122.6525945
SHELBY,SD,Brown,1883,1886,45.7219044,-98.1403808
SHERAR BRIDGE,OR,Wasco,1883,1907,45.2609549,-121.0370062
SNYDER,TX,Scurry,1883,,32.718628,-100.91638
SOLDIER,KS,Jackson,1883,,39.5352085,-95.9627064
SOMERFORD,NE,Custer,1883,1910,41.5755621,-99.4331622
SOUTH HEART,ND,Stark,1883,,46.8656545,-102.9921993
SPALDING,MT,Madison,1883,1886,45.4590944,-111.7291421
SPIKENARD,OR,Jackson,1883,1903,42.6092903,-122.9528268
STARBUCK,WA,Columbia,1883,,46.520117,-118.1277861
STELLA,SD,Edmunds,1883,1883,45.4444852,-99.0287362
STRATER,SD,Custer,1883,1885,43.8398599,-103.1916398
SUMPTER,OR,Baker,1883,,44.7433718,-118.2010133
SURPRISE,NE,Butler,1883,,41.1050131,-97.3100438
SWEDEHOME,NE,Polk,1883,1902,41.1627924,-97.6636638
SYKESTON,ND,Wells,1883,,47.4645956,-99.3993889
TALENT,OR,Jackson,1883,,42.243149,-122.7880843
TAYLOR,NV,White Pine,1883,1893,39.079665,-114.6852879
TELL TALE,OR,Curry,1883,1883,42.8387207,-124.184544
TEMECULA STATION,CA,Riverside,1883,1905,33.4970231,-117.152355
TEMPLETON,SD,Jerauld,1883,1909,44.1297127,-98.6898154
THOMS,SD,Brookings,1883,1883,44.437879,-96.8899613
THREE RIVERS,NM,Otero,1883,1883,33.3214674,-106.0749948
TOUCHET,WA,Walla Walla,1883,,46.041151,-118.6696285
TOUTLE,WA,Cowlitz,1883,,46.3243125,-122.7344523
TOWNSEND,MT,Broadwater,1883,,46.3143102,-111.5172639
TRENT,TX,Taylor,1883,,32.4890348,-100.1211541
UNION,TX,Wilson,1883,1915,29.3202395,-97.8447231
VALE,SD,Butte,1883,,44.6194655,-103.4037784
VALE,OR,Malheur,1883,,43.9809264,-117.2393808
VASHON,WA,King,1883,,47.4451082,-122.4621412
VICK,NE,Merrick,1883,1887,41.2219053,-98.257842
VILLAGE MILLS,TX,Hardin,1883,,30.5126785,-94.4181908
VIOLA,ID,Latah,1883,,46.8392849,-117.0244922
VIOLET,NE,Pawnee,1883,1935,40.1325001,-96.2547329
WALLACE,CA,Calaveras,1883,,38.1981441,-120.9803329
WALLACE,MT,Missoula,1883,1892,46.7694832,-113.7127087
WAPANUCKA,OK,Johnston,1883,,34.3754208,-96.4234351
WARREN,TX,Tyler,1883,,30.6107715,-94.4054421
WEBER,MT,Jefferson,1883,1901,46.1007607,-111.917488
WEEKLY,OR,Douglas,1883,1884,43.13067,-123.6320261
WHITE POINT,OR,Jackson,1883,1892,42.0526353,-122.6508627
WHITEWATER,NM,Grant,1883,1955,32.5814694,-108.1339305
WILLSBURGH,OR,Multnomah,1883,1900,45.4651191,-122.6453721
WOLSEY,SD,Beadle,1883,,44.4106376,-98.4755601
WOOD LAKE,NE,Cherry,1883,,42.6390477,-100.2377044
YAMPA,CO,Routt,1883,1889,40.1505483,-106.9070329
YORKTOWN,ND,Dickey,1883,1905,46.1555244,-98.3551004
ALICEVILLE,KS,Coffey,1883,1974,38.1544693,-95.5519282
ALLUWE,OK,Nowata,1883,1959,36.6103685,-95.4871973
AUBURN,ND,Walsh,1883,1943,48.5069335,-97.4398024
AVON,WA,Skagit,1883,1906,48.4423275,-122.3784941
AXIAL,CO,Moffat,1883,1958,40.2852508,-107.7920157
AZLE,TX,Tarrant,1883,,32.8951262,-97.5458565
BALDWIN,CO,Gunnison,1883,1902,38.7638829,-107.0478253
BARNUM,TX,Polk,1883,1983,30.944916,-94.6727056
BARTLETT,ND,Ramsey,1883,1975,48.0447223,-98.4323272
BEXAR,TX,Bexar,1883,1907,29.4832876,-98.1708427
BIARDSTOWN,TX,Lamar,1883,1954,33.5387186,-95.5055107
BODOCK,KS,Butler,1883,1885,37.5361329,-96.6419654
BONILLA,SD,Beadle,1883,1973,44.5827589,-98.4992613
BOX ELDER,UT,Box Elder,1883,1895,41.5102129,-112.0155015
BOYCE,TX,Ellis,1883,1954,32.3781983,-96.7377716
BRACKEN,TX,Comal,1883,1932,29.6099493,-98.3211244
BRAMHALL,SD,Hyde,1883,1893,44.5202611,-99.3017749
BROWN,CO,Montrose,1883,1896,38.6049854,-107.9822884
BUENA,CA,San Diego,1883,1893,33.1733711,-117.2086458
BUNTINGVILLE,CA,Lassen,1883,1920,40.2857318,-120.4849434
BURDETTE,SD,Hand,1883,1920,44.7049783,-98.8003776
BUTTZVILLE,ND,Ransom,1883,1955,46.5080249,-97.6298196
CABABI,AZ,Pima,1883,1884,32.0770176,-111.8954041
CACTUS,CA,Imperial,1883,1886,32.8622668,-114.896909
CANNING,SD,Hughes,1883,1972,44.3963716,-100.0320677
CARBONATE,CO,Garfield,1883,1886,39.7430376,-107.3467219
CARLTON,SD,Clark,1883,1892,44.7221928,-97.8253654
CENTERVILLE,WA,Klickitat,1883,,45.7531787,-120.9047882
CESTOHOWA,TX,Karnes,1883,1918,29.0099721,-97.9347253
CHALENDER,AZ,Coconino,1883,1884,35.2344564,-112.0251635
CHATTANOOGA,CO,San Juan,1883,1894,37.8736064,-107.7253394
CICERO,KS,Sumner,1883,1934,37.3339105,-97.3406004
CLEONE,CA,Mendocino,1883,1908,39.4898875,-123.785571
CLINE,TX,Uvalde,1883,1952,29.2432935,-100.0828441
COBURN,ND,Ransom,1883,1897,46.6177484,-97.3712032
COESFIELD,TX,Cooke,1883,1906,33.8184368,-97.0319539
COLGATE,ND,Steele,1883,1972,47.2447092,-97.6564854
COPPER,NM,Sandoval,1883,1890,36.0019626,-106.9122605
CORDER,ID,Elmore,1883,1887,43.417948,-115.90149
CORINTH,TX,Denton,1883,1927,33.1540091,-97.0647322
CORTLANDT,SD,Edmunds,1883,1909,45.4333098,-98.7587135
CORWIN,KS,Harper,1883,1957,37.0841914,-98.3045152
COTTONWOOD,TX,Callahan,1883,1958,32.2059679,-99.2045119
COVELLO,WA,Columbia,1883,1918,46.383201,-117.832982
COWLAND,KS,Finney,1883,1886,38.1597411,-100.382364
CROCKETTVILLE,CA,Contra Costa,1883,1883,38.0524208,-122.2130236
DEUEL,CO,Morgan,1883,1907,40.346094,-103.9691172
DOTSERO,CO,Eagle,1883,1948,39.6497065,-107.0603258
DRACO,TX,Wise,1883,1889,33.1048408,-97.7444754
DRANE,TX,Navarro,1883,1906,32.0448762,-96.5874874
DRESDEN,OK,Carter,1883,1887,34.2837036,-97.0380693
DUKE,TX,Fort Bend,1883,1922,29.5046812,-95.486054
DUNLAP,AZ,Graham,1883,1892,32.9572853,-110.3550919
DUNN,ND,Eddy,1883,1883,47.6799985,-99.1378952
DUQUOIN,KS,Harper,1883,,37.3827963,-98.0736735
DURANGO,TX,Falls,1883,1906,31.2048996,-97.1305524
EASTON,TX,Rusk,1883,1904,32.3873755,-94.5829828
EASTONVILLE,CO,El Paso,1883,1932,39.0611029,-104.5621927
EATON,ND,Dickey,1883,1887,45.9630257,-98.1759359
EGAN,TX,Johnson,1883,1954,32.4529185,-97.299737
ELBA,ID,Cassia,1883,,42.248246,-113.5613967
EMBDEN,ND,Cass,1883,1886,46.8021971,-97.4331484
EMMA,CO,Pitkin,1883,,39.3649841,-107.0617138
ENGLEVALE,ND,Ransom,1883,1985,46.3927458,-97.9134343
ETTA,CA,Sierra,1883,1895,39.5796256,-120.3707633
EZZELL,TX,Lavaca,1883,1914,29.2824702,-96.9008145
FAIRBANK,AZ,Cochise,1883,1981,31.7231456,-110.1884107
FAIRVIEW,ID,Franklin,1883,1909,42.013259,-111.8766162
FARRAR,TX,Limestone,1883,1956,31.4568412,-96.280804
FERGUSON,CO,Garfield,1883,1891,39.5485917,-107.6561707
FLORENCE,SD,Hand,1883,1900,44.6916454,-98.9892703
GALLAWAY,TX,Cass,1883,1891,33.035688,-94.1879644
GARDAR,ND,Pembina,1883,1984,48.5891607,-97.8739841
GATES,ND,Eddy,1883,1886,47.8280543,-99.120122
GIBTOWN,TX,Jack,1883,1927,33.0320643,-97.9483713
GILBERT,KS,Meade,1883,1885,37.3855792,-100.1956968
GILMER,WA,Klickitat,1883,1919,45.8712317,-121.4653545
GLICK,KS,Kiowa,1883,1890,37.4502986,-99.0801057
GRANITE,ID,Bonner,1883,1954,48.0104594,-116.6704759
GRANITE CANON,WY,Laramie,1883,,41.0999831,-105.1583108
GRESHAMTON,KS,Rawlins,1883,1889,39.8144428,-101.2276597
GRUBGULCH,CA,Madera,1883,1918,37.3246662,-119.7707125
GUNLOCK,UT,Washington,1883,,37.2860894,-113.7632989
HARRISTON,WA,Adams,1883,1884,47.2407107,-118.1513513
HATTON,WY,Albany,1883,1902,41.3049729,-105.9833381
HAZELTON,KS,Barber,1883,,37.090303,-98.3984073
HENSON,CO,Hinsdale,1883,1884,38.0208297,-107.3770012
HILLSDALE,WA,Whatcom,1883,1904,48.9603893,-122.735731
HUGHITT,SD,Hyde,1883,1884,44.5230396,-99.5981704
HULLTOWN,TX,Shackelford,1883,1890,32.5476245,-99.1659072
HUNTER,TX,Comal,1883,1953,29.8071657,-98.0236176
IBAPAH,UT,Tooele,1883,1980,40.036604,-113.9852805
IDA,SD,Clark,1883,1884,44.8863532,-97.5736943
IRONTON,CO,Ouray,1883,1920,37.9327727,-107.6803383
JAMESTOWN,ID,Latah,1883,1890,46.9968379,-117.0335017
JOHNSTOWN,KS,McPherson,1883,1904,38.4927852,-97.6755958
KALAMAZOO,KS,Sedgwick,1883,1887,37.4819631,-97.728662
KEAMS CANON,AZ,Navajo,1883,1926,35.812506,-110.1951253
KEEFTON,SD,Clark,1883,1884,44.7416375,-97.8573106
KEETER,TX,Wise,1883,1904,33.0345666,-97.6130812
KELLYVILLE,TX,Marion,1883,1908,32.7793056,-94.409362
KENO,TX,Liberty,1883,1902,30.3904848,-95.0607667
LAPUSH,WA,Clallam,1883,1960,47.9086834,-124.6366039
LEAH,WY,Albany,1883,1896,41.1824801,-105.5947132
LEE,TX,Comanche,1883,1884,31.7868169,-98.521988
LEO,WY,Carbon,1883,1952,42.2502378,-106.8033747
LEON JUNCTION,TX,Coryell,1883,,31.3410021,-97.5941839
LEONARD,CA,Santa Cruz,1883,1883,36.9449518,-121.8707889
LILY,SD,Day,1883,,45.1813467,-97.683422
LIVONA,ND,Emmons,1883,1955,46.5022164,-100.5470642
LONE STAR,TX,Cherokee,1883,1916,31.9535014,-95.037997
LOOKOUT,NM,Eddy,1883,1892,32.2323431,-104.1124386
LOU,OK,Carter,1883,1883,34.2837036,-97.0380693
LYONSVILLE,CA,Tehama,1883,1937,40.3093251,-121.7380392
MANARD,OK,Cherokee,1883,1913,35.8122,-95.1183
MAPES,ND,Nelson,1883,1985,48.0311085,-98.2273245
MAVERICK,TX,Runnels,1883,1962,31.8334814,-100.1950909
MAXDALE,TX,Bell,1883,1926,30.9899004,-97.8355748
MAYWOOD,SD,Hanson,1883,1887,43.5138728,-97.9461825
MEADOWS,ID,Adams,1883,1966,44.9610043,-116.2437384
MELVILLE,ND,Foster,1883,1967,47.3347193,-99.0356672
MERLE,TX,Burleson,1883,1919,30.4493729,-96.462466
MERRICOURT,ND,Dickey,1883,1990,46.2094142,-98.7626023
MERRIMAC,CA,Butte,1883,1934,39.765997,-121.3074635
MITCHELL,CO,Eagle,1883,1909,39.3916543,-106.3191926
MURPHYVILLE,TX,Brewster,1883,1888,30.3584919,-103.6610115
NASH,TX,Ellis,1883,1903,32.2657021,-96.8127729
NAVAJO,AZ,Apache,1883,1975,35.1241907,-109.5381655
NEEDLES,AZ,Mohave,1883,1883,34.7185864,-114.4842612
NEUTRAL,KS,Cherokee,1883,1907,37.0978407,-94.7949532
NEWARK,SD,Marshall,1883,1958,45.9294065,-97.7914912
NEWCASTLE,KS,Cherokee,1883,1885,37.2222813,-94.8377367
NEWTON,NM,Grant,1883,1883,32.7156323,-108.1972676
NIPOMA,CA,San Luis Obispo,1883,1887,35.0427547,-120.4759986
OAKLAND,KS,Kingman,1883,1886,37.6183483,-97.8628315
OASIS,UT,Millard,1883,,39.2938455,-112.6282819
OJATA,ND,Grand Forks,1883,1936,47.9174842,-97.2692488
OKOBOJO,SD,Sully,1883,1945,44.6491491,-100.3956911
ONO,CA,Shasta,1883,1963,40.4751501,-122.6180702
OWYHEE,ID,Ada,1883,1919,43.4182229,-116.2006673
PARKTOWN,ND,Pembina,1883,1887,48.5891607,-97.8739841
PARNELL,KS,Atchison,1883,1923,39.5063862,-95.2066367
PATTERSON,TX,Waller,1883,1916,29.8252297,-95.9949564
PEARL,KS,Dickinson,1883,1935,38.8516687,-97.044182
PENDLETONVILLE,TX,Bell,1883,1908,31.1951755,-97.3486174
PENNS GROVE,CA,Sonoma,1883,1894,38.2996376,-122.6666533
PEONE,WA,Spokane,1883,1933,47.8021175,-117.2291003
PERRY,TX,Falls,1883,,31.4179501,-96.9152688
PERRYMAN,TX,Liberty,1883,1902,30.2141001,-94.7543678
PETERS,KS,Kingman,1883,1891,37.5152958,-98.3017385
PETERS,TX,Austin,1883,1945,29.8599512,-96.1866286
PINNEO,CO,Washington,1883,1931,40.2094245,-103.4385544
PITRODIE,SD,Clark,1883,1902,44.5721954,-97.8475865
POWDERVILLE,MT,Powder River,1883,1983,45.758887,-105.1152542
POWEL,NE,Jefferson,1883,1921,40.2208348,-97.2847615
POWELL,SD,Edmunds,1883,1908,45.2885846,-99.0309455
POWELL,AZ,Mohave,1883,1886,34.7372295,-114.3769024
QUIJOTOA,AZ,Pima,1883,1942,32.1272924,-112.1381886
RAGO,KS,Kingman,1883,,37.4527954,-98.0817291
REDLAND,OK,Sequoyah,1883,1937,35.3048171,-94.6243879
REECE,KS,Greenwood,1883,1967,37.7989133,-96.4463999
REILLY,CA,Inyo,1883,1883,36.0068923,-117.3689479
ROCKLAND,TX,Tyler,1883,,31.015195,-94.381588
RUDOLPH,SD,Brown,1883,1908,45.3480323,-98.5362059
RYLIE,TX,Dallas,1883,1932,32.6906872,-96.6374939
SAINT BENEDICT,KS,Nemaha,1883,1902,39.8872212,-96.0988918
SEA VIEW,CA,Sonoma,1883,1914,38.5454682,-123.2280625
SHOUP,ID,Lemhi,1883,1964,45.3768616,-114.2770276
SILCOTT,WA,Asotin,1883,1931,46.4151589,-117.1976642
SILEX,SD,Hand,1883,1891,44.4935934,-98.7989865
SIMS,ND,Morton,1883,1947,46.7722232,-101.4984774
SIPE SPRINGS,TX,Comanche,1883,1957,32.0906967,-98.7842219
SORGHUM,KS,Rice,1883,1887,38.5125105,-98.3953448
SPRINGDALE,SD,Lincoln,1883,1894,43.4313663,-96.69727
STOVER,KS,Labette,1883,1895,37.173955,-95.1946893
STUBBS,TX,Kaufman,1883,1907,32.4087527,-96.2877569
SUCCESS,SD,Clark,1883,1894,44.5705236,-97.5364686
SUGAR,UT,Salt Lake,1883,1899,40.7257799,-111.8652128
SUNSET,CO,Boulder,1883,1921,40.0358196,-105.4688856
SUNSET,MT,Missoula,1883,1914,46.9379879,-113.4667485
SWEETLAND,SD,Hand,1883,1895,44.3405412,-98.9848208
SWIFT,TX,Nacogdoches,1883,1940,31.62018,-94.4832619
TAISON,CA,San Joaquin,1883,1889,38.2040831,-121.409395
TIKURA,ID,Blaine,1883,1919,43.2146276,-114.0128095
TOLT,WA,King,1883,1922,47.6478787,-121.9140073
TOPONIS,ID,Gooding,1883,1900,42.9387917,-114.7131081
TRAER,KS,Decatur,1883,1971,39.9283378,-100.666261
TRIMBLE,CO,La Plata,1883,1900,37.3902785,-107.8464554
TUTTLE,CO,Kit Carson,1883,1918,39.4973848,-102.5108957
WALKERTOWN,KS,Bourbon,1883,1910,37.7917086,-94.8044103
WALNUT,TX,Bosque,1883,1892,32.0576479,-97.7494711
WATAUGA,TX,Tarrant,1883,1922,32.8579056,-97.2547371
WATSON,KS,Shawnee,1883,1899,38.9880565,-95.5563671
WAUNETA,KS,Chautauqua,1883,1961,37.1130985,-96.3805585
WAWONA,CA,Mariposa,1883,1935,37.5368803,-119.6562684
WHEATON,KS,Pottawat.,1883,,39.5022185,-96.3208362
WILSON,UT,Weber,1883,1902,41.2291113,-112.0252196
WINDSOR,ND,Stutsman,1883,1975,46.8963763,-99.0428884
WOMER,KS,Smith,1883,1905,39.9736247,-98.7106262
YARNABY,OK,Bryan,1883,1957,33.7909343,-96.2569286
YOUNG,TX,Freestone,1883,1926,31.8421096,-96.0799681
ACKERLAND,KS,Leavenworth,1883,1923,39.2113896,-95.1044125
ALBION,KS,Harper,1883,1902,37.2625206,-97.8044992
ALTA,SD,Marshall,1883,1886,45.8057872,-97.6670459
ATLANTIS,SD,Day,1883,1887,45.4138448,-97.5462027
BACONVILLE,ND,Nelson,1883,1905,48.1166611,-97.9364848
BADEN,KS,Douglas,1883,1891,38.7819496,-95.4819232
BATES,CA,Madera,1883,1903,37.0902259,-119.8023744
BAYNE,KS,Russell,1883,1888,39.1319549,-98.5797912
BERTON,SD,Miner,1883,1906,44.1680271,-97.512849
BIG BOTTOM,SD,Meade,1883,1908,44.5855403,-103.5226908
BLOOMINGTON,SD,Charles Mix,1883,1905,43.3394385,-98.7756396
BRISBINE,SD,Sanborn,1883,1902,44.1535911,-97.9542498
BROOKLYN,KS,Barton,1883,1887,38.5794554,-98.5353499
BUEL,KS,Mitchell,1883,1903,39.3488963,-98.1919965
BURNSIDE,SD,Charles Mix,1883,1899,43.4138873,-99.0712024
CANTY,SD,Aurora,1883,1889,43.5944367,-98.5948068
CARNTYNE,KS,Kingman,1883,1887,37.4436295,-98.2253462
CARSON,SD,Sully,1883,1891,44.6566497,-100.2898538
CASTALIA,SD,Charles Mix,1883,1901,43.3708317,-99.0848143
CIMILORIO,NM,Colfax,1883,1898,36.8953052,-105.0022219
CLIFTON,SD,Sully,1883,1922,44.7041499,-100.2426297
CLYDE,SD,Kingsbury,1883,1887,44.4549681,-97.4497974
COLVIN,SD,Charles Mix,1883,1898,43.4694421,-98.9836995
DARLINGTON,SD,Charles Mix,1883,1885,43.3947167,-98.7859179
DAY,KS,Washington,1883,1930,39.594166,-97.1980837
DEAN,SD,Hand,1883,1906,44.2647097,-98.9420418
DUDLEY,SD,Aurora,1883,1883,43.513045,-98.4203587
DUNBAR,ND,Sargent,1883,1887,46.1616299,-97.6231516
DUNCAN,SD,Buffalo,1883,1913,44.1477681,-99.0281536
DUNLAP,SD,Brule,1883,1915,43.5569406,-98.8509206
EAGLE,SD,Hand,1883,1889,44.81581,-98.7364883
EGERIA,CO,Routt,1883,1900,40.031098,-106.772819
ELIZA,SD,Hutchinson,1883,1883,43.3019331,-97.9586826
EMERSON,KS,Stafford,1883,1903,37.8389051,-98.9017638
EQUITY,KS,Anderson,1883,1894,38.0986399,-95.2180317
EWING,KS,Lyon,1883,1887,38.2600171,-96.24472
FACT,KS,Clay,1883,1903,39.5538887,-97.0333533
FAY,KS,Russell,1883,1908,39.0016782,-98.9489763
FIRMIS,KS,Graham,1883,1888,39.4347289,-99.7142816
FLETCHER,WA,Whitman,1883,1887,47.1343393,-117.1912911
FLOWERFIELD,SD,Hamlin,1883,1887,44.6327442,-97.4261893
FRANKTON,KS,Rooks,1883,1887,39.5527872,-99.3498212
FRIESLAND,SD,Charles Mix,1883,1886,43.2911082,-98.9875897
GALT,ND,Walsh,1883,1892,48.3169396,-97.9578735
GIDEON,KS,Douglas,1883,1902,38.8972257,-95.3177519
GRISWOLD,ND,Ransom,1883,1884,46.5169147,-97.8464908
HAND,SD,Hand,1883,1905,44.7646996,-98.9170475
HARAM,SD,Lincoln,1883,1898,43.1860966,-96.7839347
HARRINGTON,SD,Faulk,1883,1889,45.0333089,-99.2840008
HICKMAN,KS,Greenwood,1883,1895,37.6925355,-96.0988822
HOSFORD,KS,Montgomery,1883,1889,37.20562,-95.9188736
HOWELL,SD,Hand,1883,1923,44.7941437,-98.9670487
JACK,KS,Russell,1883,1888,39.0894556,-98.8781391
JACKSONVILLE,KS,Jefferson,1883,1887,39.1805546,-95.4460858
KELLERTON,SD,Hamlin,1883,1888,44.7088546,-97.4095239
KIRKWOOD,SD,Charles Mix,1883,1898,43.4924964,-98.88592
LEEDS,KS,Chautauqua,1883,1927,37.23476,-96.4002833
LEWISTON,WY,Fremont,1883,1906,42.4357912,-108.5464954
LYNN,SD,Day,1883,1911,45.4577316,-97.6664839
MAHAN,KS,Gove,1883,1885,38.9311209,-100.3718016
MAITLAND,SD,Douglas,1883,1887,43.2680455,-98.2475773
MANSFIELD,KS,Wabaunsee,1883,1887,38.781949,-96.2294404
MAY,SD,Spink,1883,1885,45.083579,-98.1892581
MAYBERRY,SD,Edmunds,1883,1885,45.4619204,-98.8492723
MCCONNELL,ND,Pembina,1883,1889,48.9191595,-97.6317485
MEDAS,SD,Sanborn,1883,1907,44.319428,-98.1625893
MELBOURNE,SD,Hand,1883,1887,44.8524764,-99.0481617
MILFORD DEPOT,KS,Geary,1883,1885,39.164441,-96.9266782
MONARCH,CO,Chaffee,1883,1903,38.5405525,-106.3141907
MORTIMER,KS,Labette,1883,1907,37.3250636,-95.488034
NEWTON,SD,Faulk,1883,1887,44.9185871,-99.1342748
NYRA,KS,Rooks,1883,1888,39.2786215,-99.2309304
OKLAHOMA,KS,Kingman,1883,1888,37.5583515,-98.3878535
OTTOFY,ND,Nelson,1883,1907,47.7397192,-98.387878
OXIDE,KS,Ellsworth,1883,1888,38.6038988,-98.2925612
PECTORIA,SD,Brown,1883,1884,45.7188573,-98.3137106
PEMBROKE,SD,Potter,1883,1907,45.2180394,-99.8337287
PENDLETON,KS,Miami,1883,1905,38.5055707,-94.7544031
PERCILLA,SD,Sully,1883,1890,44.8827609,-100.2837415
PIKE,KS,Wabaunsee,1883,1887,38.8541696,-96.4794455
PITT,KS,Kingman,1883,1887,37.3983514,-98.0336718
PLAINFIELD,SD,Brule,1883,1890,43.7263857,-98.825368
PRAHA,ND,Walsh,1883,1907,48.2391623,-97.9737072
PROTECTION,SD,Aurora,1883,1883,43.9083239,-98.4989776
PURDY,AZ,Greenlee,1883,1883,32.7247932,-109.1000629
RANCHO,KS,Elk,1883,1887,37.4708769,-96.0008159
RED MOUNTAIN,CO,Ouray,1883,1913,37.9036062,-107.702561
ROANOKE,SD,Faulk,1883,1907,45.2438629,-98.906775
ROLLINS,SD,Aurora,1883,1887,43.5680461,-98.4892496
ROMNESS,ND,Griggs,1883,1903,47.5524946,-98.055095
SALLEE,KS,Kingman,1883,1888,37.7158498,-98.2464565
SAYLESVILLE,SD,Hand,1883,1885,44.8524762,-98.7659336
SCATTERWOOD,SD,Faulk,1883,1900,45.2271976,-98.7581586
SEAMAN,KS,Linn,1883,1903,38.3708531,-94.9719112
SHARPSDALE,CO,Huerfano,1883,1934,37.7194482,-105.3616732
SILVISTA,ND,Walsh,1883,1904,48.4911053,-97.9309288
SQUIB,KS,Chautauqua,1883,1883,37.23476,-96.4002833
STARKEY,SD,Jerauld,1883,1888,44.0374895,-98.4509231
STEPHEN,KS,Decatur,1883,1888,39.6975046,-100.508755
STETSON,SD,Jerauld,1883,1884,44.0361037,-98.7273152
STOCKRANGE,KS,Ellis,1883,1895,38.6514023,-99.5601126
TEWAUKON,ND,Sargent,1883,1903,46.0119065,-97.3642608
THATCHER,CO,Las Animas,1883,1973,37.545847,-104.1088551
THEODORE,SD,Walworth,1883,1893,45.3041519,-99.8526184
TURNERVILLE,KS,Graham,1883,1889,39.3055607,-99.9670698
ULNESS,ND,Dickey,1883,1887,46.2416361,-98.7945475
UXBRIDGE,ND,Barnes,1883,1892,47.1183232,-98.3800942
VESTA,ND,Walsh,1883,1905,48.4138847,-98.0498214
VIVIAN,ND,Sargent,1883,1887,46.2563533,-97.8039874
WALWORTH,SD,Walworth,1883,1894,45.4511026,-100.3101313
WANETA,SD,Potter,1883,1884,45.0469282,-100.2981864
WASA,ND,Barnes,1883,1885,46.7994284,-98.2217584
WESTELLA,KS,Marshall,1883,1886,39.9516679,-96.4258493
WESTON,ND,Dickey,1883,1887,45.9727501,-98.320935
WHITEHALL,KS,Cherokee,1883,1887,37.0745112,-94.9946811
WILEY,CA,Amador,1883,1887,38.5265757,-120.4332557
SAINT MARY'S,SD,Miner,1883,1893,44.0680298,-97.6295178
ARMOUR,TX,Limestone,1883,1903,31.7359979,-96.6574874
BEAR CREEK,TX,Tarrant,1883,1911,32.8567943,-97.0605646
CASE,NE,Hamilton,1883,1887,40.735032,-98.2256504
ELKWOOD,ND,Cavalier,1883,1930,48.9680476,-98.2781579
FISHERTOWN,OK,McIntosh,1883,1893,35.3382545,-95.5514169
HOMERVILLE,NE,Gosper,1883,1890,40.4667281,-99.859791
INGERSOLL,ND,McLean,1883,1905,47.4514543,-100.9912767
JACKSON,WA,Cowlitz,1883,1902,46.2689406,-122.9386922
LAKE,WA,Asotin,1883,1904,46.2162596,-117.2401491
LANDSMAN,CO,Yuma,1883,1918,39.5719378,-102.2772128
LILAC,TX,Milam,1883,1905,30.7538035,-97.2027714
REDBUD,TX,Montague,1883,1886,33.7976026,-97.6211374
SHERMANVILLE,KS,Sherman,1883,1893,39.5111094,-101.5782237
SILVER CITY,OK,Grady,1883,1890,35.3283114,-97.8174651
STEWARTSDALE,ND,Burleigh,1883,1917,46.7078621,-100.6306321
THOMAS,TX,Panola,1883,1899,32.040489,-94.3862739
TOWLES,SD,Lake,1883,1896,44.1672892,-97.3100692
BELFORD,SD,Aurora,1883,1903,43.8949881,-98.3614752
CHOWCHILLA,CA,Mariposa,1883,1905,37.4629943,-119.7801625
FRUITVALE,CA,Fresno,1883,1892,36.5941173,-119.5754086
KESTERSON,NE,Jefferson,1883,1891,40.085281,-97.1992026
MANDERSON,NE,Valley,1883,1892,41.5633424,-99.0953711
NORTH,UT,Salt Lake,1883,1891,40.7976112,-111.9431864
ROSEDALE,CA,Tulare,1883,1883,36.1963401,-119.1681633
SHERWOOD,CA,Mendocino,1883,1920,39.5216797,-123.4536627
SMITHSON,CA,Shasta,1883,1892,40.8884832,-122.3808442
TRENT,WA,Spokane,1883,1913,47.686957,-117.2404702
POINT SUR,CA,Monterey,1883,1883,36.3052413,-121.8994009
BUTTE,SD,Butte,1883,1897,44.9058408,-103.5080403
ELGIN,ND,Cavalier,1883,1888,48.7612292,-98.4105163
GALE,KS,Marion,1883,1887,38.3933168,-97.0982251
GARFIELD,UT,Garfield,1883,1884,37.8549014,-111.4431349
GOSHEN,KS,Clay,1883,1884,39.5238011,-97.0150638
KOTO,SD,McPherson,1883,1887,45.8096975,-98.9087168
MILLSBURGH,ND,Sargent,1883,1886,46.1457972,-97.6637083
PEORIA,NE,Knox,1883,1893,42.6556261,-97.6620588
RUSSELL,NE,Frontier,1883,1899,40.6569521,-100.2509688
SARGENT,ND,Sargent,1883,1890,46.1079383,-97.6307327
SAWLOG,KS,Hodgeman,1883,1884,37.9568753,-99.8996305
STENA,SD,Marshall,1883,1888,45.8058962,-97.9167542
STROHL,NE,Loup,1883,1887,41.8722258,-99.5059464
VERNER,ND,Sargent,1883,1896,46.153133,-97.9450258
BEAVER CREEK,CO,Pueblo,1883,1902,38.4180561,-104.9547051
CONGRESS,CO,San Juan,1883,1884,37.8919396,-107.7053389
JUNIPER,AZ,Yavapai,1883,1910,34.165586,-112.3707226
ARBEKA,OK,Seminole,1883,1907,35.4497974,-96.4594551
BOWEN,CO,Rio Grande,1883,1901,37.4297311,-106.1124429
IDYLWILDE,SD,Turner,1883,1899,43.2272117,-97.3192262
PALESTINE,NE,Platte,1883,1903,41.5989001,-97.7056073
FLEMING,NM,Grant,1883,1887,32.7447974,-108.4533838
